FID,SHAPE,NAME,ADRESSE,BETREUUNG,ART,ART_TXT,SKZ,TELEFON,WEBLINK1,SE_SDO_ROWID,SE_ANNO_CAD_DATA
SCHULEOGD.631341,POINT (16.28318157962757 48.17763425193095),Speziallehrgang für Leitungsfunktionen in der Sozialarbeit der Caritas der Erzdiözese Wien,"13., Kardinal-König-Platz 3",,9,Humanberufliche Schule (privat),913489,01 803 98 68,http://www.sozialmanagement.at/,631341,
SCHULEOGD.631342,POINT (16.31418142619146 48.17605424017238),HBLFA Grünbergstraße 24,"13., Grünbergstraße 24",,13,Zentrallehranstalt (öffentlich),913710,01 813 59 50,http://www.gartenbau.at,631342,
SCHULEOGD.631343,POINT (16.284461589237985 48.18943419510995),Goetheanistisches Konservatorium und waldorfpädagogische Akademie des Kuratoriums für künstlerische und heilende Pädagogik,"13., Feldmühlgasse 11",,12,Statutschule (privat),913810,01 877 31 91,http://www.waldorf-hietzing.at,631343,
SCHULEOGD.631344,POINT (16.259051713989898 48.1900142080841),BSH 13 Himmelhofgasse 17-19,"13., Himmelhofgasse 17-19",,9,Humanberufliche Schule (öffentlich),913950,01 877 12 45,www.himmelhof-wien.at,631344,
SCHULEOGD.631345,POINT (16.259051713989898 48.1900142080841),BSH Bundesschülerheim 13,"13., Himmelhofgasse 17-19",,11,Sonstige (öffentlich),913950e,877 12 45,http://www.netway.at/bundesinternat/,631345,
SCHULEOGD.631346,POINT (16.306021487073217 48.19126417262285),VS Diesterweggasse 30,"14., Diesterweggasse 30",Ganztagsschule in verschränkter Abfolge,1,Volksschule (öffentlich),914011,01 4000 562 330,http://diesterweggasse.schule.wien.at//,631346,
SCHULEOGD.631347,POINT (16.31096147669154 48.20190411923466),SSB Kienmayergasse 41,"14., Kienmayergasse 41",Ganztagsschule in getrennter Abfolge,3,Sonderschule (öffentlich),914013,01 4000 562 310,http://kienmayergasse.schule.wien.at/,631347,
SCHULEOGD.631348,POINT (16.306271499068817 48.20140412453065),SSB Kienmayergasse 41,"14., Zennerstraße 1",,11,Sonstige (öffentlich),914013e,01 985 97 44,,631348,
SCHULEOGD.631349,POINT (16.319021439553943 48.2026841106841),SSB Kienmayergasse 41,"15., Auf der Schmelz 4",,11,Sonstige (öffentlich),914013e,01 982 03 51,,631349,
SCHULEOGD.631350,POINT (16.306231498678738 48.20087412668484),SSB Kienmayergasse 41,"14., Spallartgasse 18",,11,Sonstige (öffentlich),914013e,01 985 45 51,,631350,
SCHULEOGD.631351,POINT (16.338261417830424 48.25552384665102),SSB Kienmayergasse 41,"19., Straßergasse 37-39",,11,Sonstige (öffentlich),914013e,01 320 21 81,,631351,
SCHULEOGD.631352,POINT (16.294831550511777 48.19827414615502),"Verein W@lz.Wiener Lernzentrum, Heinrich-Collin-Straße 9","14., Heinrich-Collin-Straße 9",,4,Polytechnische Schule (privat),914014,01 804 29 39,http://www.walz.at,631352,
SCHULEOGD.631353,POINT (16.311291467069694 48.19559414903047),Berufsschule für Schönheitsberufe,"14., Goldschlagstraße 137",,5,Berufsschule (öffentlich),914015,01 59916-95801,http://www.berufsschule-hk.at,631353,
SCHULEOGD.631354,POINT (16.290221563816612 48.19149418218269),GRg 14 Astgasse 3,"14., Astgasse 3",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),914016,01 894 75 39,http://www.astgasse.net,631354,
SCHULEOGD.631355,POINT (16.282991606671192 48.196194163704966),VS Felbigergasse 97,"14., Felbigergasse 97",,1,Volksschule (öffentlich),914021,01 4000 562 340,http://vs-felbigergasse.schule.wien.at,631355,
SCHULEOGD.631356,POINT (16.27801163671548 48.20057414581308),MS Torricelligasse 50 I,"14., Deutschordenstraße 4",Ganztagsschule in verschränkter Abfolge,2,Mittelschule (öffentlich),914022,01 4000 560 110,http://torricelligasse.jimdofree.com/,631356,
SCHULEOGD.631357,POINT (16.28334160296547 48.195434167529775),ASO Linzer Straße 232,"14., Linzer Straße 232",,3,Sonderschule (öffentlich),914023,01 4000 562 320,http://lernraum14.schule.wien.at/,631357,
SCHULEOGD.631358,POINT (16.295971539803304 48.1946541628798),GRg 14 Linzer Straße 146,"14., Linzer Straße 146",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),914026,01 911 25 77,http://www.brg14.at/,631358,
SCHULEOGD.631359,POINT (16.223421916126114 48.209464137380884),VS Hadersdorf Hauptstraße 70,"14., Hauptstraße 70",,1,Volksschule (öffentlich),914031,01 4000 562 350,http://ovs-hadersdorf.at,631359,
SCHULEOGD.631360,POINT (16.313351459958508 48.197694138232436),MS Lortzinggasse 2,"14., Lortzinggasse 2",,2,Mittelschule (öffentlich),914032,01 4000 562 290,http://nms.lortzing.schule.wien.at,631360,
SCHULEOGD.631361,POINT (16.254871753261096 48.203104148687494),Waldorf Campus Wien (11.-13. Schulstufe),"14., Linzer Straße 430 Top 5",,12,Statutschule (privat),914036,01 353 3713,www.waldorf-campus-wien.at,631361,
SCHULEOGD.631362,POINT (16.276961636116223 48.19632416710624),VS Hochsatzengasse 22-24,"14., Hochsatzengasse 22-24",,1,Volksschule (öffentlich),914041,01 4000 562 360,http://ovs-hochsatzengasse.schule.wien.at/,631362,
SCHULEOGD.631363,POINT (16.277911637460754 48.20071414532789),MS Torricelligasse 50/II,"14., Torricelligasse 50/II",,2,Mittelschule (öffentlich),914042,01 4000 560100,http://nmsi.torricelligasse.at/,631363,
SCHULEOGD.631364,POINT (16.300691531833937 48.204964111260836),BgBRgORg 14,"14., Steinbruchstraße 33",,6,Allgemeinbildende höhere Schule (öffentlich),914046,01 416 55 49-101,http://www.ahs-wienwest.at,631364,
SCHULEOGD.631365,POINT (16.255621747966707 48.202194152512114),VS Linzer Straße 419,"14., Linzer Straße 419",,1,Volksschule (öffentlich),914051,01 4000 562 370,http://www.vs-huetteldorf.at,631365,
SCHULEOGD.631366,POINT (16.313921457301948 48.19765413792665),VS Lortzinggasse 2,"14., Lortzinggasse 2",,1,Volksschule (öffentlich),914061,01 4000 562 380,http://www.sonnenschule-lortzinggasse.at/,631366,
SCHULEOGD.631367,POINT (16.259431734835093 48.206334130469585),Montessori Schule Statutschule 4. bis 9. Schulstufe,"14., Henckellgasse 19",,12,Statutschule (privat),914072,01 911 69 68,http://www.montessoricampus.at,631367,
SCHULEOGD.631368,POINT (16.30650149802534 48.20140412452355),VS Zennerstraße 1,"14., Zennerstraße 1",,1,Volksschule (öffentlich),914081,01 4000 562 390,http://zennerstrasse.schule.wien.at/,631368,
SCHULEOGD.631369,POINT (16.245511803796557 48.20695413612513),VS Mondweg 73-83,"14., Mondweg 73-83",,1,Volksschule (öffentlich),914091,01 4000 562 400,http://www.mondweg.at/,631369,
SCHULEOGD.631370,POINT (16.30781149319731 48.20181412135052),PVS Breitenseer Straße 31,"14., Breitenseer Straße 31",,1,Volksschule (privat),914101,01 982 13 43-14,http://www.josefinum.at,631370,
SCHULEOGD.631371,POINT (16.272841664307208 48.201954142967125),VS Karl-Toldt-Weg 12,"14., Karl-Toldt-Weg 12",,1,Volksschule (öffentlich),914111,01 4000 562 410,http://vs-ktw.schule.wien.at,631371,
SCHULEOGD.631372,POINT (16.303291507666707 48.19667414878858),VS Märzstraße 178-180,"14., Märzstraße 178-180",,1,Volksschule (öffentlich),914121,01 4000 562 420,http://ovs-maerzstrasse.schule.wien.at/,631372,
SCHULEOGD.631373,POINT (16.257111743200834 48.20379414412647),Montessori Schule - Statutschule 1. - 3. Schulstufe,"14., Hüttelbergstraße 8",,12,Statutschule (privat),914131,01 911 69 68,http://www.montessoricampus.at,631373,
SCHULEOGD.631374,POINT (16.265981687592372 48.19488418034667),"Volksschule ""Bildungscampus Wien West""","14., Deutschordenstraße 4",,1,Volksschule (öffentlich),914151,01 4000 564 290,,631374,
SCHULEOGD.631375,POINT (16.25471175358715 48.203104148911564),Montessori Schule - Statutschule (10. - 12. Schulstufe),"14., Linzer Straße 430",,12,Statutschule (privat),914156,,,631375,
SCHULEOGD.631376,POINT (16.303091508886286 48.19736414576195),VS Dreyhausenstraße 19-25,"14., Dreyhausenstraße 19-25",,1,Volksschule (öffentlich),914161,,,631376,
SCHULEOGD.631377,POINT (16.303001516264853 48.202154122563115),Höhere Graphische Bundes-Lehr- und Versuchsanstalt,"14., Leyserstraße 6",,13,Zentrallehranstalt (öffentlich),914417,01 982 39 14,http://www.graphische.net,631377,
SCHULEOGD.631378,POINT (16.299761533008148 48.202364123846344),Werkmeisterschule für Berufstätige des BMLV an der Vega-Payer-Weyprecht-Kaserne,"14., Breitenseer Straße 61",,7,Technische Schule (privat),914427,050201-52314,http://www.bildungundberuf.at/institut_3577.html,631378,
SCHULEOGD.631379,POINT (16.296041540584937 48.19465416298191),Musikinstitut Polyhymnia der Polyhymnia GmbH,"14., Linzer Straße 146",,12,Statutschule (privat),914510,01 266 00 75,http://www.polyhymnia.at,631379,
SCHULEOGD.631380,POINT (16.33029137464189 48.19639413382581),VS Benedikt-Schellinger-Gasse 1-3,"15., Benedikt-Schellinger-Gasse 1-3",,1,Volksschule (öffentlich),915011,01 4000 562 490,http://www.popper4u.at,631380,
SCHULEOGD.631381,POINT (16.3228014105043 48.19593414027791),ASO Kröllgasse 20,"15., Kröllgasse 20",,3,Sonderschule (öffentlich),915013,01 4000 562 480,,631381,
SCHULEOGD.631524,POINT (16.363241299591994 48.257803819574896),VS Oskar-Spiel-Gasse 3,"19., Oskar-Spiel-Gasse 3",,1,Volksschule (öffentlich),919071,01 370 25 02-111,http://oskar.schule.wien.at/,631524,
SCHULEOGD.631525,POINT (16.34495136835798 48.24307390177512),GRg 19 Billrothstraße 73,"19., Billrothstraße 73",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),919076,01 368 25 39,http://www.billroth73.at,631525,
SCHULEOGD.631526,POINT (16.354221313364363 48.235753930407455),VS Pantzergasse 25,"19., Pantzergasse 25",,1,Volksschule (öffentlich),919081,01 369 42 45,http://www.vs-pantzergasse.at,631526,
SCHULEOGD.631527,POINT (16.287061666928963 48.253643887221536),American International School  Salmanndorferstraße 47,"19., Salmannsdorfer Straße 47",,12,Statutschule (privat),919086,01 401 32-0,http://www.ais.at,631527,
SCHULEOGD.631528,POINT (16.32886145512667 48.24923388172354),VS Windhabergasse 2d,"19., Windhabergasse 2d",,1,Volksschule (öffentlich),919091,01 320 23 10-111,http://www.vs-sievering.at,631528,
SCHULEOGD.631529,POINT (16.339251407456015 48.251263866338384),PVS Alfred-Wegener-Gasse 10-12,"19., Alfred-Wegener-Gasse 10-12",,1,Volksschule (privat),919101,01 320 21 07-330,http://www.nls.at,631529,
SCHULEOGD.631530,POINT (16.355061317340443 48.242233899586296),PVS Döblinger Hauptstraße 83,"19., Döblinger Hauptstraße 83",,1,Volksschule (privat),919111,01 368 75 21-17,http://www.maria-regina.at/,631530,
SCHULEOGD.631531,POINT (16.28735166468216 48.253663886963444),PVS Salmannsdorfer Straße 47,"19., Salmannsdorfer Straße 47",,1,Volksschule (privat),919131,01 40 132-0,http://www.ais.at/,631531,
SCHULEOGD.631532,POINT (16.338761414038935 48.254533850830235),Schwedische Schule Scheibelreitergasse 15,"19., Scheibelreitergasse 15",,12,Statutschule (privat),919171,01 320 79 80,http://www.svenskaskolan.at,631532,
SCHULEOGD.631533,POINT (16.338001419553617 48.25579384498033),Höhere Bundeslehranstalt für wirtschaftliche Berufe Wien 19,"19., Straßergasse 37-39",,9,Humanberufliche Schule (öffentlich),919419,01 320 21 81,http://www.hlw19.at,631533,
SCHULEOGD.631534,POINT (16.333701415552284 48.237353936299925),Tourismusschulen Modul der Wirtschaftskammer Wien,"19., Peter-Jordan-Straße 78",,9,Humanberufliche Schule (privat),919449,01 476 70-201,http://www.modul.at/,631534,
SCHULEOGD.631535,POINT (16.353311327381032 48.24291389743377),BAFEP 19 Hofzeile 17,"19., Hofzeile 17",,10,Lehrerbildende mittlere und höhere Schulen (privat),919820,01 368 75 21-50,http://www.maria-regina.at/,631535,
SCHULEOGD.631536,POINT (16.33798141928855 48.25563384633474),BSH Bundesschülerinnenheim Straßergasse,"19., Straßergasse 39",,11,Sonstige (öffentlich),919950,01 3201298,http://www.hlw19.at/willkommen-im-schuelerinnenheim,631536,
SCHULEOGD.631537,POINT (16.382011184219373 48.24087388951769),VS Vorgartenstraße 42,"20., Vorgartenstraße 42",,1,Volksschule (öffentlich),920011,01 4000 563 110,http://geps20.schule.wien.at/,631537,
SCHULEOGD.631538,POINT (16.37439120896959 48.23160393795207),MS Greiseneckergasse 31,"20., Greiseneckergasse 31",,2,Mittelschule (öffentlich),920012,01 332 53 54-211,http://www.ms20.at/,631538,
SCHULEOGD.631539,POINT (16.368191232757784 48.22715396311842),ASO Treustraße 9,"20., Treustraße 9",,3,Sonderschule (öffentlich),920013,01 330 45 87-311,http://spz20.schule.wien.at/,631539,
SCHULEOGD.631540,POINT (16.377851207154826 48.24287388240004),ASO/SPZ Treustraße 9,"20., Leystraße 36",,11,Sonstige (öffentlich),920013e,01 333 86 37,,631540,
SCHULEOGD.631541,POINT (16.38270118118873 48.24136388627124),PTS Stromstraße 44,"20., Stromstraße 44",,4,Polytechnische Schule (öffentlich),920014,01 330 45 13-311,http://www.pts20.at/,631541,
SCHULEOGD.631542,POINT (16.36568125844805 48.2372839159966),BOL Adalbert-Stifter-Straße 18,"20., Adalbert-Stifter-Straße 18",,12,Statutschule (privat),920024,01 331 06-150,http://www.jbbz.at/,631542,
SCHULEOGD.631543,POINT (16.363881259804124 48.231523944746904),VS Treustraße 55,"20., Treustraße 55",,1,Volksschule (öffentlich),920031,01 330 75 61,http://bunte-schule.schule.wien.at/,631543,
SCHULEOGD.631544,POINT (16.374471208198862 48.23161393770018),VS Greiseneckergasse 29/II,"20., Greiseneckergasse 29/II",,1,Volksschule (öffentlich),920041x,01 332 63 40,,631544,
SCHULEOGD.631545,POINT (16.388081143459747 48.233283921715),MS Pöchlarnstraße 14,"20., Pöchlarnstraße 14",,2,Mittelschule (öffentlich),920042,01 4000/560 820,http://poechlarnstrasse.schule.wien.at,631545,
SCHULEOGD.631546,POINT (16.370411222819737 48.22787395815556),SES Jägerstraße 11-13,"20., Jägerstraße 11-13",,3,Sonderschule (öffentlich),920043,01 334 67 34,http://www.rez.at,631546,
SCHULEOGD.631547,POINT (16.368531180421733 48.19102413577927),SES Jägerstraße 11-13,"4., Waltergasse 16",,11,Sonstige (öffentlich),920043e,01 505 48 22,,631547,
SCHULEOGD.631548,POINT (16.374011209531325 48.23154393859848),VS Greiseneckergasse 29,"20., Greiseneckergasse 29/I",,1,Volksschule (öffentlich),920051,01 330 42 26,http://schmetterlingsschule.schule.wien.at,631548,
SCHULEOGD.631549,POINT (16.369581227414937 48.22829395648583),MS Staudingergasse 6,"20., Staudingergasse 6",,2,Mittelschule (öffentlich),920052,01 330 33 12-211,http://ms-staudingergasse.at,631549,
SCHULEOGD.631550,POINT (16.37751120909362 48.24323388058209),VS Leystraße 34,"20., Stromstraße 44",,1,Volksschule (öffentlich),920071,01 4000 563 140,http://ley34.at,631550,
SCHULEOGD.631551,POINT (16.381041189214002 48.24097388910576),MS Stromstraße 40,"20., Stromstraße 40",,2,Mittelschule (öffentlich),920072,01 4000 563 080,http://www.stromstrasse.at/,631551,
SCHULEOGD.631552,POINT (16.389711137823003 48.23456391486532),VS Vorgartenstraße 95-97,"20., Vorgartenstraße 95-97",Ganztagsschule in verschränkter Abfolge,1,Volksschule (öffentlich),920081,01 330 31 52-111,http://gtvs-europaschule.at,631552,
SCHULEOGD.631553,POINT (16.367181255894856 48.24032390054042),VS Dietmayrgasse 3,"20., Dietmayrgasse 3",,1,Volksschule (öffentlich),920091,01 4000 560 710,http://dietmayrgasse.schule.wien.at,631553,
SCHULEOGD.631554,POINT (16.367941251921646 48.24061389865563),VS Spielmanngasse 1,"20., Spielmanngasse 1",Ganztagsschule in verschränkter Abfolge,1,Volksschule (öffentlich),920111,01 4000 562 500,http://spielmanngasse.schule.wien.at/,631554,
SCHULEOGD.631555,POINT (16.373891234159206 48.24851385802208),VS Robert-Blum-Gasse 2,"20., Robert-Blum-Gasse 2",Ganztagsschule in verschränkter Abfolge,1,Volksschule (öffentlich),920121,01 4000/560 760,http://robertblumgasse.schule.wien.at/,631555,
SCHULEOGD.631556,POINT (16.383631173875987 48.239363895157666),VS Vorgartenstraße 50/Allerheiligenplatz 7,"20., Vorgartenstraße 50/Allerheiligenplatz 7",Ganztagsschule in verschränkter Abfolge,1,Volksschule (öffentlich),920131,01 333 37 23-111,http://www.lernwerkstatt.or.at/,631556,
SCHULEOGD.631557,POINT (16.383381177790724 48.24129388647276),VS Durchlaufstraße 23,"20., Durchlaufstraße 23",,1,Volksschule (öffentlich),920141,01 332 59 22-111,http://durchlaufstrasse.schule.wien.at/,631557,
SCHULEOGD.631558,POINT (16.390341134587572 48.23509391195014),VS Engerthstraße 134,"20., Engerthstraße 134",,1,Volksschule (öffentlich),920161,01 240 82 88-111,http://vs-wilhelm-engerth.schule.wien.at/,631558,
SCHULEOGD.631559,POINT (16.369451239185093 48.23636391855558),TGM Höhere Technische Bundes Lehr- und Versuchsanstalt Wien 20,"20., Wexstraße 19-31",,13,Zentrallehranstalt (öffentlich),920417,01 33 126-0,http://www.tgm.ac.at/,631559,
SCHULEOGD.631560,POINT (16.39157112913171 48.23461391314133),LG Engerthstraße 117,"20., Engerthstraße 117",,11,Sonstige (öffentlich),920437x,332 77 30,http://www.bfi-wien.or.at/bfi-wien/,631560,
SCHULEOGD.631561,POINT (16.403961095971404 48.25475380911359),"ASO 21, Franklinstraße 27-33/I","21., Franklinstraße 27-33/I",,3,Sonderschule (öffentlich),921013,01 270 31 68,http://spz-franklinstrasse.schule.wien.at,631561,
SCHULEOGD.631562,POINT (16.403241100268556 48.25496380917797),"ASO 21, Franklinstraße 27-33/II","21., Franklinstraße 27-33/II",,3,Sonderschule (öffentlich),921013a,01 259 64 36,http://spz-franklinstrasse.schule.wien.at,631562,
SCHULEOGD.631563,POINT (16.37442128133279 48.283943688536105),Berufsschule für Fahrzeugtechnik,"21., Scheydgasse 40",,5,Berufsschule (öffentlich),921015,01 59916-95732,http://www.siegfried-marcus-berufsschule.at/,631563,
SCHULEOGD.631382,POINT (16.330131375730083 48.19667413243362),PTS Benedikt-Schellinger-Gasse 1-3,"15., Benedikt-Schellinger-Gasse 1-3",,4,Polytechnische Schule (öffentlich),915014,01 4000 564 090,http://www.pts15.at/,631382,
SCHULEOGD.631383,POINT (16.31553148642023 48.2244740083953),PTS Benedikt-Schellinger-Gasse 1-3,"17., Arzbergergasse 2",,11,Sonstige (öffentlich),915014e,01 484 80 91,http://www.schulen.wien.at/schulen/915014/,631383,
SCHULEOGD.631384,POINT (16.334301361486272 48.20100410938701),"Berufsschule für Chemie, Grafik und gestaltende Berufe","15., Hütteldorfer Straße 7-17",,5,Berufsschule (öffentlich),915015,01 59916-95269,http://www.cgg.at,631384,
SCHULEOGD.631385,POINT (16.332391356249655 48.19044416027803),RgORg 15 Henriettenplatz 6,"15., Henriettenplatz 6",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),915016,01 893 67 43,http://www.brgorg15.at,631385,
SCHULEOGD.631386,POINT (16.333081358252322 48.194534140847544),VS Friedrichsplatz 5,"15., Friedrichsplatz 5",,1,Volksschule (öffentlich),915021,01 4000 562 560,http://www.vsfriedrichsplatz.jimdo.com,631386,
SCHULEOGD.631387,POINT (16.329581378442317 48.19639413382836),MS Schweglerstraße 2-4,"15., Schweglerstraße 2-4",,2,Mittelschule (öffentlich),915022,01 4000 562 440,http://www.sirkarlpopperschule.at/,631387,
SCHULEOGD.631388,POINT (16.33494135659349 48.19908411807584),SEH Zinckgasse 12-16,"15., Zinckgasse 12-16",Ganztagsschule in getrennter Abfolge,3,Sonderschule (öffentlich),915023,01 4000 562 470,http://zinckgasse.schule.wien.at/,631388,
SCHULEOGD.631389,POINT (16.33365135022278 48.19056415925249),VS Friesgasse 10,"15., Friesgasse 10",,1,Volksschule (öffentlich),915031,01 4000 562 510,http://www.oskarspielschule.schulweb.at/,631389,
SCHULEOGD.631390,POINT (16.32668137961821 48.18657418243212),MS Sechshauser Straße 71,"15., Sechshauser Straße 71",,2,Mittelschule (öffentlich),915032,01 4000 562 450,http://msi-sechshaus.schule.wien.at,631390,
SCHULEOGD.631391,POINT (16.335201355147635 48.19892411792653),VS Goldschlagstraße 14-16,"15., Goldschlagstraße 14-16",,1,Volksschule (öffentlich),915041,01 4000 562 520,http://evsgoldschlagstrasse.at,631391,
SCHULEOGD.631392,POINT (16.33494135659349 48.19908411807584),VS Goldschlagstraße 14-16,"15., Zinckgasse 12-14",,11,Sonstige (öffentlich),915041e,01 982 51 91,,631392,
SCHULEOGD.631393,POINT (16.32593139620517 48.19631413677846),SES Huglgasse 3,"15., Huglgasse 3",,3,Sonderschule (öffentlich),915043,01 4000 560 090,http://huglgasse.schule.wien.at,631393,
SCHULEOGD.631394,POINT (16.33525135687421 48.201114107518),"Berufsschule für Holz, Klang, Farbe und Lack","15., Hütteldorfer Straße 7-17",,5,Berufsschule (öffentlich),915045,01 59916-95261,http://www.hkfl.at,631394,
SCHULEOGD.631395,POINT (16.33414134867677 48.19064415850069),pGRg 15 Friesgasse 4,"15., Friesgasse 4",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (privat),915046,01 893 65 50-21,http://www.schulefriesgasse.ac.at/,631395,
SCHULEOGD.631396,POINT (16.31887143215122 48.19719413698898),VS Johnstraße 40,"15., Johnstraße 40",,1,Volksschule (öffentlich),915051,01 4000 562 530,http://johnstrasse.schule.wien.at,631396,
SCHULEOGD.631397,POINT (16.333771350270624 48.190564158998),PMS Friesgasse 4,"15., Friesgasse 4",,2,Mittelschule (privat),915052,01 893 65 50-36,http://www.schulefriesgasse.ac.at/,631397,
SCHULEOGD.631398,POINT (16.32593139620517 48.19631413677846),SHE Heilstättenschule Huglgasse 3,"15., Huglgasse 3",,3,Sonderschule (öffentlich),915053,01 4000 560 080,http://heilstaettenschule.schule.wien.at,631398,
SCHULEOGD.631399,POINT (16.32324140958247 48.19618413895115),VS Selzergasse 19,"15., Selzergasse 19",,1,Volksschule (öffentlich),915061,01 4000 - 560 430,http://ovs-kinderinsel-an-der-wasserwelt.jimdosite.com/,631399,
SCHULEOGD.631400,POINT (16.33671133798887 48.19250414767171),PMS Gebrüder-Lang-Gasse 4,"15., Gebrüder Lang-Gasse 4",,2,Mittelschule (privat),915062,01 893 43 16-12,http://www.dls15.at/,631400,
SCHULEOGD.631401,POINT (16.319031438491862 48.20269411078883),GRg 15 Auf der Schmelz 4,"15., Auf der Schmelz 4",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),915066,01 982 03 51,http://www.schmelz.at/,631401,
SCHULEOGD.631402,POINT (16.33154135360746 48.18554418474001),VS Ortnergasse 4,"15., Ortnergasse 4",,1,Volksschule (öffentlich),915071,01 4000 562 540,http://vs-ortnergasse.schule.wien.at,631402,
SCHULEOGD.631403,POINT (16.334991358247947 48.20107410820925),Berufsschule für Handel und Reisen,"15., Hütteldorfer Straße 7-17",,5,Berufsschule (öffentlich),915075,01 59916-95231,http://www.bshr.at,631403,
SCHULEOGD.631404,POINT (16.325881382019855 48.18542418839242),pRg 15 Rauchfangkehrergasse 34/6,"15., Rauchfangkehrergasse 34/6",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (privat),915076,01 897 27 15,http://www.irgw.at,631404,
SCHULEOGD.631405,POINT (16.33436134735717 48.19070415831276),PVS Friesgasse 4,"15., Friesgasse 4",,1,Volksschule (privat),915081,01 893 65 50-58,http://www.schulefriesgasse.ac.at/,631405,
SCHULEOGD.631406,POINT (16.337281335198128 48.19236414851535),PVS Gebrüder-Lang-Gasse 4,"15., Gebrüder-Lang-Gasse 4",,1,Volksschule (privat),915091,01 893 43 16-15,http://www.dls15.at,631406,
SCHULEOGD.631407,POINT (16.32503138997056 48.18899417163446),VS Reichsapfelgasse 30,"15., Reichsapfelgasse 30",Ganztagsschule in verschränkter Abfolge,1,Volksschule (öffentlich),915101,01 4000 562 550,http://gtvs15.schule.wien.at,631407,
SCHULEOGD.631408,POINT (16.31916143105771 48.19758413475195),Berufsschule für Bürokaufleute,"15., Meiselstraße 19",,5,Berufsschule (öffentlich),915105,01 59916-95580,http://www.bsbk.at/,631408,
SCHULEOGD.631409,POINT (16.330121360680767 48.18524418670518),PVS Ullmannstraße 63,"15., Ullmannstraße 63",,1,Volksschule (öffentlich),915121,01 892 27 56,http://www.ivsw.at,631409,
SCHULEOGD.631410,POINT (16.333951349379884 48.19060415880708),Handelsakademie-Aufbaulehrgang / Handelsschule d. Schulverbund SSND Österreich,"15., Friesgasse 4",,8,Kaufmännische Schule (privat),915418,01 893 65 50-17,http://www.schulefriesgasse.ac.at,631410,
SCHULEOGD.631411,POINT (16.320851410206686 48.188514177084926),Fachschule für Mode der Stadt Wien,"15., Siebeneichengasse 17",,9,Humanberufliche Schule (privat),915439,01 59916-95290,http://www.mode-7e.at,631411,
SCHULEOGD.631412,POINT (16.333371347202082 48.187534173401204),Vienna Konservatorium der Frau Mag. Eva Maria Schmid,"15., Stiegergasse 15-17",,12,Statutschule (privat),915510,01 985 81 12,http://www.viennaconservatory.at/,631412,
SCHULEOGD.631413,POINT (16.315441453969953 48.20085412147937),VMI - VIENNA MUSIC INSTITUT - PRIVATKONSERVATORIUM DES HERRN MAG. ERNST RITSCH,"15., Nobilegasse 23-25",,12,Statutschule (privat),915520,01 786 04 92,http://www.vmi.at,631413,
SCHULEOGD.631414,POINT (16.317041449871834 48.203844106449154),BSPA Bundessportakademie -  Auf der Schmelz 6,"15., Auf der Schmelz 6",,10,Lehrerbildende mittlere und höhere Schulen (öffentlich),915820,01 4277-27901,http://www.bspa.at/wien,631414,
SCHULEOGD.631415,POINT (16.33266138494452 48.212034057455355),VS Gaullachergasse 49,"16., Gaullachergasse 49",,1,Volksschule (öffentlich),916011,01 4000 562 640,http://gaullachergasse.schule.wien.at/,631415,
SCHULEOGD.631416,POINT (16.33280138323684 48.210644064220915),MS Grundsteingasse 48,"16., Grundsteingasse 48",,2,Mittelschule (öffentlich),916012,01 406 01 08,http://grundsteingasse.schule.wien.at,631416,
SCHULEOGD.631417,POINT (16.332441376721583 48.20467409239326),ASO Schinnaglgasse 3-5,"16., Schinnaglgasse 3-5",,3,Sonderschule (öffentlich),916013,01 493 15 47,http://spz16.schule.wien.at,631417,
SCHULEOGD.631418,POINT (16.318981448885918 48.21003407522992),Rg 16 Schuhmeierplatz 7,"16., Schuhmeierplatz 7",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),916016,01 492 08 19,http://www.rg16.at,631418,
SCHULEOGD.631419,POINT (16.31585146763593 48.21256406493551),VS Grubergasse 4,"16., Grubergasse 4",,1,Volksschule (öffentlich),916021,01 4000 560 490,http://www.vs-grubergasse.at/,631419,
SCHULEOGD.631420,POINT (16.315031467609362 48.209584079634645),MS Koppstraße 110/II,"16., Koppstraße 110/II",,2,Mittelschule (öffentlich),916022,01 495 14 41,http://www.kms16.at,631420,
SCHULEOGD.631421,POINT (16.305981516615674 48.21248407218902),GRg 16 Maroltingergasse 69-71,"16., Maroltingergasse 69-71",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),916026,01 493 18 38,http://www.grg16.at/,631421,
SCHULEOGD.631422,POINT (16.32173143227125 48.20738408602969),VS Herbststraße 86,"16., Herbststraße 86",,1,Volksschule (öffentlich),916031,01 492 43 23-111,http://www.volksschule-herbststrasse.at/,631422,
